batter,name
455117,Martín Maldonado
456781,Donovan Solano
457705,Andrew McCutchen
457759,Justin Turner
467793,Carlos Santana
493329,Yulieski Gurriel
500743,Miguel Rojas
502054,Thomas Pham
502671,Paul Goldschmidt
506702,Sandy León
514888,Jose Altuve
516782,Starling Marte
518595,Travis d'Arnaud
518692,Frederick Freeman
518792,Jason Heyward
518934,David LeMahieu
519317,Giancarlo Stanton
521692,Salvador Perez
527038,Wilmer Flores
542194,Christian Bethancourt
542303,Marcell Ozuna
542932,Jonathon Berti
542963,Robert Brantly
543309,Kyle Higashioka
543510,James McCann
543592,Austin Nola
543760,Marcus Semien
543807,George Springer
543877,Christian Vázquez
545121,Ildemaro Vargas
545341,Randal Grichuk
545350,Jacob Marisnick
545358,Max Stassi
545361,Michael Trout
546991,Reinaldo Almora
547180,Bryce Harper
553869,Elias Díaz
553882,Omar Narváez
553988,Dixon Machado
553993,Eugenio Suárez
570482,Giovanny Urshela
571448,Nolan Arenado
571466,Tucker Barnhart
571657,James Farmer
571771,Enrique Hernández
571875,Jake Lamb
571912,Luke Maile
571970,Maxwell Muncy
572138,Jonathan Singleton
572191,Michael Taylor
572204,Trayce Thompson
572233,Christian Walker
573262,Michael Yastrzemski
575929,Willson Contreras
578428,Jose Iglesias
592178,Kristopher Bryant
592192,Mark Canha
592200,Curt Casali
592206,Nicholas Castellanos
592273,Brandon Drury
592325,Benjamin Gamel
592348,Cartier Goodrum
592450,Aaron Judge
592518,Manuel Machado
592626,Joc Pederson
592663,Jacob Realmuto
592669,Dustin Renfroe
592696,Eddie Rosario
592885,Christian Yelich
593428,Xander Bogaerts
593871,Jorge Polanco
595453,Chad Wallach
595751,Jorge Alfaro
595777,Jurickson Profar
595879,Ednel Báez
595978,Austin Hedges
596019,Francisco Lindor
596103,Austin Slater
596115,Trevor Story
596117,Garrett Stubbs
596142,Gary Sánchez
596146,Maximilian Kepler
600869,Jeimer Candelario
602104,Ramón Urías
605113,Nicholas Ahmed
605131,Austin Barnes
605137,Joshua Bell
605141,Markus Betts
605170,Victor Caratini
605204,Jonathan Davis
605244,Aramis Garcia
605346,Jack López
605353,Vimael Machín
605361,Nicholas Martini
605612,Harold Castro
606115,Orlando Arcia
606192,Teoscar Hernández
606466,Ketel Marte
606992,Eric Haase
607043,Brandon Nimmo
607208,Trea Turner
607680,Kevin Pillar
607732,Jacob Stallings
608070,José Ramírez
608324,Alexander Bregman
608348,Carson Kelly
608360,Christopher Okey
608369,Corey Seager
608385,Jesse Winker
608671,Travis Jankowski
608701,Robert Refsnyder
608841,Joey Meneses
609280,Miguel Andujar
614173,Franchy Cordero
620443,Luis Torrens
620449,Luis Castro
621020,James Swanson
621028,Kevin Newman
621035,Christopher Taylor
621043,Carlos Correa
621438,Tyrone Taylor
621439,Byron Buxton
621458,Edwin Rios
621466,Demetrius Stewart
621493,Joseph Ward
621512,Tomás Nido
621529,Joseph Hudson
621566,Matthew Olson
622268,Donovan Walton
622534,Manuel Margot
622569,Pablo Reyes
622761,Jorge Mateo
623168,Tyler Heineman
623205,Andrew Velazquez
623993,Anthony Santander
624413,Peter Alonso
624414,Christian Arroyo
624415,Cavan Biggio
624424,Michael Conforto
624428,Adam Frazier
624431,Jose Trevino
624503,Nicholas Gordon
624512,Reese McGuire
624513,Dominic Nuñez
624523,Riley Unroe
624585,Jorge Soler
624641,Edmundo Sosa
628451,Andy Ibáñez
630105,Jacob Cronenworth
640458,Óscar Mercado
640459,Brian Navarreto
640492,José Azocar
640902,Jhonny Pereda
641302,Tyler Alexander
641313,Timothy Anderson
641343,Jakob Bauers
641355,Cody Bellinger
641487,John Crawford
641511,Jason Delay
641555,Juan Escarra
641584,Jake Fraley
641598,Mitchell Garver
641645,Luis Guillorme
641658,Garrett Hampson
641680,Jonah Heim
641796,Timothy Locastro
641820,Joseph Mancini
641856,William McKinney
641857,Ryan McMahon
641933,Tyler O'Neill
641943,Joshua Palacios
642020,Charles Robinson
642086,Dominic Smith
642133,Ryan Tellez
642136,Matthew Thaiss
642137,Cody Thomas
642180,Tyler Wade
642197,Jamie Westbrook
642201,Elijah White
642215,Weston Wilson
642350,Jose Siri
642708,German Rosario
642715,Willy Adames
642727,Sergio Alcántara
642731,Thairo Estrada
642851,Robert Wynns
643217,Andrew Benintendi
643265,Garrett Cooper
643289,Mauricio Dubón
643376,Daniel Jansen
643396,Isiah Kiner-Falefa
643446,Jeffrey McNeil
643565,Michael Tauchman
644433,Chadwick Tromp
645277,Ozhaino Albies
645302,Victor Robles
645305,Ali Sánchez
645444,Jose Herrera
645801,Michael Ford
646240,Rafael Devers
647304,Joshua-Douglas Naylor
647351,Abraham Toro
